key,de-DE,en-US
custom.data.type.wikidata.name,Wikidata-Verknüpfung,Wikidata-Link
custom.data.type.wikidata.edit.button|icon,edit,edit
custom.data.type.wikidata.remove.button|icon,trash,trash
custom.data.type.wikidata.config.option.mask.editor_style.value.inline,Eingebettet,embedded
custom.data.type.wikidata.config.parameter.mask.editor_style.value.label,Editor-Stil,Editor-Style
custom.data.type.wikidata.config.option.mask.editor_style.value.popover,Popover,Popover
custom.data.type.wikidata.config.option.mask.editor_style.value.dropdown,Dropdown,Dropdown
custom.data.type.wikidata.config.option.mask.editor_style.value.popover_with_treeview,Popover mit Baumansicht,Popover with treeview
custom.data.type.wikidata.modal.form.url.placeholder,Wikidata-Verknüpfung,Wikidata-Link
custom.data.type.wikidata.modal.form.text.label,Text,Text
custom.data.type.wikidata.edit.modal.title|text,Mit Vokabulareintrag verknüpfen,Link with Vocabulary-Entry
custom.data.type.wikidata.edit.no_valid_wikidata,Keine valide Datensatz-Verknüpfung,No valid Record-Link
custom.data.type.wikidata.edit.no_wikidata,Keine Datensatz-Verknüpfung gesetzt,No Record-Link set
custom.data.type.wikidata.modal.form.text.count,Anzahl Vorschläge,Count of suggestions
custom.data.type.wikidata.modal.form.text.searchbar,Suchbegriff eingeben,Type searchterm
custom.data.type.wikidata.modal.form.text.searchbar.placeholder, tippen ... ,type sth. ...
custom.data.type.wikidata.modal.form.text.result.label,Gewählter Eintrag,Choosen entry
custom.data.type.wikidata.modal.form.text.result.placeholder,noch leer,empty
custom.data.type.wikidata.modal.form.text.uri.label,Zugehörige URI,Choosen URI
custom.data.type.wikidata.modal.form.text.uri.label.placeholder,noch leer,empty
custom.data.type.wikidata.modal.form.popup.suggest.nohit,Kein Treffer,No hit
custom.data.type.wikidata.url.tooltip,zu **%(name)s** springen,jump to **%(name)s**
custom.data.type.wikidata.modal.form.popup.preview.preflabel,Bezeichnung,Label
custom.data.type.wikidata.modal.form.popup.preview.keywords,Schlagwörter,Keywords
custom.data.type.wikidata.modal.form.popup.no_information_found,Keine Information gefunden,no information found
custom.data.type.wikidata.modal.form.popup.loadingstring,Lade ..,loading ..
custom.data.type.wikidata.modal.form.loadingSuggestions,Lade Vorschläge,loading suggestions
custom.data.type.wikidata.edit.no_entry,Kein Eintrag,No entry
custom.data.type.wikidata.edit.no_valid_entry,Kein valider Eintrag,No valid entry
custom.data.type.wikidata.modal.form.popup.choose,Eintrag aus dem wikidata-Baum wählen,Choose entry from wikidata-tree
custom.data.type.wikidata.modal.form.popup.treeviewreset,Baum zurücksetzen,Reset tree
custom.data.type.wikidata.modal.form.popup.add_choose,Eintrag wählen,Choose entry
custom.data.type.wikidata.modal.form.popup.loadingstringtreeview,Lade Baumansicht,loading treeview
server.config.name.system.update_wikidata,wikidata-Update-Einstellungen,wikidata-Update-Configuration
server.config.parameter.system.update_wikidata.restrict_time.label,Beschränke Updates auf bestimmte Stunden?,Restrict updates to specific hours?
server.config.parameter.system.update_wikidata.restrict_time.checkbox,Ja - beschränken,Yes - restrict
server.config.parameter.system.update_wikidata.from_time.label,Stunde von (Zahl 0-24),Hour from (Int 0-24)
server.config.parameter.system.update_wikidata.to_time.label,Stunde bis (Zahl 0-24),Hour to (Int 0-24)
server.config.parameter.system.update_wikidata.default_language.label,Standard-Datensprache als Fallback für Update (ISO 639-1),Default-data-language (as fallback) for update (ISO 639-1)
custom.data.type.wikidata.modal.form.popup.brackets.choose,Wähle einen Wert für die Klammern um fortzufahren,choose a value for the brackets to continue
custom.data.type.wikidata.modal.form.popup.brackets.select,Ausgewählt:,Selected:
server.config.group.system.plugin_custom-data-type-wikidata.title,WIKIDATA,WIKIDATA
server.config.group.system.plugin_custom-data-type-wikidata.introduction,Einstellungen für das WIKIDATA-Plugin,Settings for the WIKIDATA plugin
custom.data.type.wikidata.config.parameter.mask.editor_display.value.label,Editor-Ansicht,Editor-Display
custom.data.type.wikidata.config.option.mask.editor_display.value.default,Standard,Default
custom.data.type.wikidata.config.option.mask.editor_display.value.condensed,1 Zeile,One-liner
custom.data.type.commons.popover.choose.label,Auswahl treffen,choose
custom.data.type.commons.modal.form.popup.loadingstring,Lade Informationen,loading
custom.data.type.commons.controls.search.label,Suchen,Search
custom.data.type.commons.controls.detailinfo.label,Detailinfo, Details
custom.data.type.commons.controls.calluri.label,Uri aufrufen,Call URI
custom.data.type.commons.controls.delete.label,Löschen,Delete
custom.data.type.wikidata.config.parameter.schema.person.value.label,Suche filtern:,Filter Search
custom.data.type.wikidata.config.parameter.schema.person.value.checkbox,Personen,Persons
custom.data.type.wikidata.config.parameter.schema.institution.value.label,Suche filtern,Filter Search
custom.data.type.wikidata.config.parameter.schema.institution.value.checkbox,Institutionen,Institutions
custom.data.type.wikidata.config.parameter.schema.custom.value.label,Benutzerdefinierter Filter,Custom Filter
custom.data.type.wikidata.config.parameter.schema.custom.value.checkbox,Benutzerdefinierte Einschränkung,Custom Filter
custom.data.type.wikidata.config.parameter.schema.place.value.label,Suche filtern,Filter Search
custom.data.type.wikidata.config.parameter.schema.place.value.checkbox,Orte,Places
custom.data.type.wikidata.modal.form.text.count,Anzahl Vorschläge,Count suggestions
custom.data.type.wikidata.modal.form.text.label,Text,Text
custom.data.type.wikidata.modal.form.text.result.label,Gewählter Eintrag,Selected entry
custom.data.type.wikidata.modal.form.text.result.placeholder,noch leer,empty
custom.data.type.wikidata.modal.form.text.searchbar,Suchbegriff eingeben,Enter search query
custom.data.type.wikidata.modal.form.text.searchbar.placeholder,Suchbegriff eingeben ...,Enter search query...
custom.data.type.wikidata.modal.form.text.type,Suche auf Typ einschränken,Narrow down search to type
custom.data.type.wikidata.modal.form.text.uri.label,Zugehörige URI,Related URI
custom.data.type.wikidata.modal.form.text.uri.label.placeholder,noch leer,empty
custom.data.type.wikidata.modal.form.url.placeholder,wikidata-Verknüpfung,wikidata-node